315 4555
182 148 3
299 123 3
22 261 3
294 133 1
291 59 2
124 136 2
136 229 1
4 227 1
245 306 3
5 46 3
57 118 1
39 116 3
83 93 1
242 183 1
62 308 1
308 209 2
32 183 1
233 69 1
15 91 1
279 189 1
297 82 3
305 181 2
34 7 2
44 172 2
154 221 1
221 276 2
247 40 2
73 164 3
237 282 2
203 207 1
25 304 1
180 272 3
178 102 3
83 215 3
118 233 2
111 179 3
139 124 3
92 95 3
225 28 1
7 290 3
181 129 2
214 75 3
266 215 2
246 180 2
61 194 2
97 130 3
314 75 2
34 252 1
9 200 2
200 306 1
306 21 1
154 221 1
265 61 2
106 147 3
220 53 3
161 2 1
139 24 3
25 170 1
142 44 1
296 188 3
128 136 3
101 211 3
23 278 3
291 59 1
184 288 3
183 87 1
200 98 3
98 149 1
243 231 1
139 275 1
154 42 1
17 256 1
27 260 3
156 128 1
170 233 3
66 180 1
216 148 3
153 222 2
152 266 1
299 97 1
244 251 1
165 46 2
179 101 3
268 117 3
194 23 2
233 9 1
43 164 1
290 210 1
48 61 3
82 62 1
236 206 3
20 304 3
294 276 2
179 22 3
119 108 1
211 111 3
280 9 2
282 179 2
257 270 3
100 300 3
14 138 3
295 3 2
213 54 3
12 83 3
309 173 1
35 84 3
294 43 3
179 42 1
261 160 1
219 288 2
180 25 1
131 185 3
90 227 2
144 78 2
101 182 2
274 159 1
214 46 3
243 231 1
307 286 3
142 157 3
16 79 2
273 172 2
102 83 1
16 86 2
264 259 2
311 42 2
169 27 3
43 100 1
314 75 2
64 43 1
16 3 2
197 161 1
315 160 1
248 94 1
112 43 2
97 226 3
243 71 1
196 205 1
301 186 2
184 275 3
106 23 1
181 107 1
163 82 2
128 147 3
283 60 2
230 140 2
34 198 3
29 15 2
274 302 1
248 96 2
195 47 2
32 275 2
262 169 1
171 310 2
96 4 3
104 4 1
19 152 1
204 64 1
25 34 3
236 151 3
119 36 3
130 37 1
107 116 2
141 285 2
118 281 3
224 302 3
165 64 1
178 9 1
2 233 1
265 200 1
182 236 1
256 223 3
35 203 2
262 6 3
295 8 2
32 261 2
32 77 3
19 268 3
22 282 3
266 134 3
161 36 2
98 206 3
315 238 1
159 53 2
244 49 3
272 202 1
102 18 2
206 158 1
129 244 1
238 12 1
296 57 1
100 240 2
78 186 3
213 65 1
261 205 3
6 63 2
311 128 2
107 9 1
254 63 3
203 264 3
196 250 2
26 55 3
201 251 3
260 3 1
226 123 2
84 279 2
98 236 2
2 233 1
35 263 3
141 170 3
112 243 2
65 295 2
32 284 1
156 69 3
232 80 3
93 232 1
104 225 1
68 20 1
103 13 3
11 251 2
156 128 1
196 127 2
140 16 1
266 139 2
279 144 2
84 192 2
213 99 2
311 183 2
110 303 2
116 29 3
252 55 1
301 186 2
38 144 3
312 315 1
312 265 3
288 309 3
276 106 1
213 54 3
293 96 3
174 12 3
124 136 2
167 315 1
17 221 2
48 43 1
250 220 3
85 173 3
104 205 3
237 282 2
54 313 2
304 265 1
62 68 3
243 147 2
143 69 3
93 207 1
206 96 1
302 16 2
191 25 1
247 151 3
181 107 1
205 25 2
310 81 1
187 296 2
148 218 2
260 3 1
180 303 1
141 84 3
16 297 1
134 65 3
182 310 3
74 61 1
304 78 2
63 128 3
202 148 3
269 27 3
304 265 3
38 224 2
199 79 2
24 256 3
81 173 3
101 216 1
268 225 2
26 287 2
107 166 3
48 81 1
7 110 1
158 80 2
200 79 3
244 200 2
208 135 3
32 183 3
34 252 3
5 238 2
59 15 2
204 64 2
251 15 1
285 136 2
215 236 2
18 149 2
186 314 1
209 271 2
70 306 3
256 280 3
107 269 1
298 211 2
112 153 1
292 261 1
153 222 2
160 12 2
234 236 1
36 55 2
247 40 2
193 289 3
183 87 2
151 180 3
55 272 3
5 185 2
35 43 3
220 42 2
203 260 3
199 207 1
172 166 1
270 36 1
268 215 3
279 297 1
182 200 3
126 107 1
80 134 2
44 172 3
199 305 3
83 59 2
165 191 1
132 124 2
247 95 1
283 310 2
200 238 3
215 121 1
179 22 1
214 75 2
264 20 3
73 21 2
202 155 2
33 17 3
304 270 2
296 191 1
53 137 1
254 76 1
126 5 3
184 27 2
14 59 1
5 170 1
139 164 1
219 96 2
261 160 2
268 22 2
71 239 1
204 153 1
269 66 1
58 240 3
222 158 2
246 180 2
61 85 3
197 161 2
125 32 2
17 221 2
226 185 1
93 264 2
234 132 1
23 165 1
131 293 1
72 85 1
161 94 1
124 90 2
139 81 2
8 297 2
17 176 2
122 143 2
110 129 1
254 63 2
26 34 1
229 90 1
238 45 3
174 315 3
228 3 2
179 22 1
263 144 3
160 136 2
122 12 1
236 113 3
174 12 2
142 293 2
285 226 1
81 136 1
113 28 3
66 180 2
139 164 1
279 297 2
174 92 2
53 137 2
76 81 1
214 137 1
36 98 3
73 21 2
279 100 2
93 98 3
278 197 2
139 275 3
296 23 3
244 202 2
132 105 3
27 20 2
183 108 3
129 42 2
99 68 1
65 219 2
124 221 2
157 299 2
197 184 1
5 65 2
178 102 2
182 43 3
169 228 2
101 304 1
58 6 1
181 92 3
223 144 1
88 136 3
199 88 2
101 235 1
210 118 1
196 155 2
99 68 1
134 190 3
96 153 2
50 46 2
125 116 3
310 235 1
11 82 1
296 191 2
248 293 3
290 260 1
49 10 1
181 146 3
45 210 2
81 12 1
306 21 1
183 46 1
133 132 2
162 81 2
221 3 3
107 16 2
67 102 3
220 209 3
284 82 2
276 208 2
188 248 2
95 88 1
64 30 1
59 162 1
118 119 3
139 171 3
59 162 1
136 113 1
126 27 1
140 36 1
244 200 3
194 49 2
30 140 3
243 231 1
284 151 1
276 300 2
11 24 3
10 132 3
20 171 2
264 252 2
275 146 1
6 24 3
39 272 3
139 148 1
10 192 3
178 36 2
238 37 3
46 260 1
91 76 3
112 243 2
11 115 2
30 80 3
89 244 1
108 205 1
48 238 1
201 224 1
276 67 3
234 169 2
140 36 1
251 53 3
53 253 2
71 239 3
76 171 2
221 3 3
37 280 2
205 34 1
167 315 3
183 214 3
58 240 3
69 112 1
37 280 2
7 229 1
182 236 1
86 105 3
43 270 1
234 132 2
