1067 1442
549 992 1
308 227 3
839 916 3
696 5 2
354 449 1
258 271 1
916 308 2
135 420 1
634 926 2
217 719 3
579 632 1
837 949 1
171 221 3
681 1033 1
442 137 2
250 373 1
354 449 1
606 577 1
1027 189 3
65 425 2
797 707 3
1026 881 1
246 542 2
1064 632 1
568 697 3
48 441 2
94 740 2
798 172 3
429 1005 1
411 446 2
766 302 2
161 146 1
310 262 2
772 85 1
793 433 3
669 657 1
646 551 1
26 980 3
605 8 3
970 929 1
449 941 3
959 89 1
351 126 1
923 556 2
82 762 1
568 697 2
836 682 1
414 806 3
429 898 2
74 34 1
463 294 3
444 312 1
620 846 2
839 916 3
863 604 1
1047 472 1
701 197 3
349 1061 3
913 211 2
498 310 1
201 466 1
605 8 2
471 519 2
853 983 2
68 374 3
929 1010 3
1067 450 2
599 535 2
1004 45 2
346 792 1
1006 413 1
1046 23 1
772 85 2
462 689 3
497 920 3
492 77 1
397 254 2
855 507 1
327 238 1
988 240 1
879 859 3
276 249 2
286 479 1
455 669 3
258 271 2
947 458 1
452 503 2
283 491 1
552 411 1
978 114 1
772 251 3
499 1023 3
397 254 2
417 378 1
343 7 2
1010 303 1
179 657 2
579 632 2
791 985 2
253 131 3
302 619 3
454 757 1
463 718 2
851 140 3
959 89 3
605 974 2
565 575 2
947 248 3
359 557 2
250 373 1
724 184 1
601 425 3
721 220 2
72 738 1
959 250 1
953 479 3
136 568 2
1020 321 1
603 61 1
781 949 2
942 853 1
679 890 2
784 812 3
821 435 1
745 648 1
953 469 3
764 494 1
573 944 1
559 301 1
387 203 3
74 9 2
837 949 1
995 44 3
4 985 3
938 808 3
69 830 3
694 51 2
573 74 2
965 406 1
474 76 2
171 328 2
1030 286 3
35 711 1
133 483 3
637 432 3
517 768 1
527 488 3
23 398 1
30 207 2
649 950 3
171 328 3
343 7 3
936 882 2
674 618 3
658 190 3
362 688 1
80 109 1
834 784 3
438 858 1
1018 897 2
1008 880 3
474 76 2
855 507 1
1027 738 2
981 430 3
533 284 1
724 184 3
533 284 3
276 13 3
401 882 1
188 940 3
18 258 1
968 764 2
814 744 1
169 12 1
251 69 1
912 917 3
838 330 2
976 514 2
1027 189 3
852 424 3
430 727 3
24 764 3
1008 880 3
763 744 1
627 804 3
793 433 2
329 488 3
465 397 1
50 771 2
776 491 2
399 1056 1
361 50 3
362 82 2
555 836 3
706 194 1
409 185 1
692 742 2
443 464 2
202 862 2
968 764 1
457 158 2
793 355 2
965 872 3
836 559 3
1020 307 1
262 816 1
17 345 3
1015 760 3
757 443 2
912 917 3
103 77 2
74 9 2
599 535 3
287 170 3
691 998 1
9 715 2
457 158 2
927 252 1
155 82 3
627 804 2
317 563 2
836 559 3
77 513 2
610 128 3
799 557 1
755 272 1
340 606 2
402 463 2
101 834 1
799 130 2
98 942 3
992 716 2
699 947 1
545 974 3
1047 901 1
787 241 3
263 87 1
276 249 2
662 987 3
104 378 3
1059 683 1
23 398 1
895 589 3
642 1029 2
163 927 3
547 546 1
72 1052 2
988 808 2
165 310 3
212 181 2
1039 591 1
286 479 2
1020 321 2
242 151 1
805 52 1
1054 368 2
818 140 2
992 716 2
627 804 1
1027 738 3
894 430 3
931 146 1
276 249 3
811 382 1
274 1011 3
345 40 2
617 202 3
766 916 3
248 113 3
552 411 1
227 294 3
785 908 2
133 816 2
72 1052 2
506 931 1
376 636 1
109 1040 1
437 858 2
385 490 2
691 214 2
501 507 1
171 328 3
104 378 1
528 303 1
74 3 2
126 781 1
776 611 1
618 848 1
474 964 3
873 340 1
885 752 2
74 1002 2
822 914 1
995 44 3
477 69 1
1021 871 3
891 948 1
632 769 2
699 597 1
258 271 2
1015 760 3
365 42 1
414 858 1
212 181 2
891 40 2
414 806 1
148 770 1
385 782 3
26 980 3
912 917 3
332 886 1
387 203 2
380 608 1
859 1060 1
161 545 2
990 649 1
547 1053 2
85 25 1
294 892 2
50 281 3
310 365 2
399 293 1
692 742 2
1010 303 2
169 13 3
432 801 2
268 327 3
406 866 2
1018 793 2
915 347 3
86 962 3
169 13 1
699 597 1
858 402 1
1064 632 1
346 792 1
428 192 3
565 575 2
145 597 3
755 272 1
2 221 2
1031 216 3
758 666 3
547 1053 3
471 519 3
201 466 2
1046 23 2
692 742 2
465 258 2
994 266 1
602 463 2
98 942 2
199 444 1
766 302 2
105 438 1
122 375 3
429 1005 1
584 626 1
428 192 3
835 220 2
287 336 2
1064 286 3
44 243 2
1002 166 1
583 645 1
799 130 2
274 1011 2
287 336 2
287 1027 3
432 801 3
1042 941 2
431 705 1
847 877 3
891 40 1
691 998 1
893 492 1
325 376 2
497 920 1
1028 143 2
855 507 2
467 143 3
711 150 2
438 343 3
902 1008 2
1067 450 2
477 69 2
783 22 1
234 554 3
908 933 3
61 311 2
1030 286 2
819 153 2
407 262 1
138 586 1
897 366 1
835 220 2
141 319 2
103 77 2
769 941 1
781 949 3
195 997 1
229 731 1
831 725 2
409 185 3
227 294 3
248 113 3
851 140 1
162 656 2
518 844 1
551 544 3
9 715 1
188 940 2
432 801 3
295 227 3
72 1052 2
744 960 2
115 316 1
605 971 1
169 142 3
63 287 3
842 877 3
1014 813 3
879 572 3
938 393 1
568 697 3
895 589 1
1039 591 2
385 490 2
74 9 2
521 469 3
380 608 1
658 190 3
818 140 2
696 5 2
791 985 2
799 130 2
139 233 1
222 309 1
65 425 2
1051 904 2
576 573 2
663 358 3
769 202 1
346 931 3
796 551 2
605 209 2
436 38 1
437 858 2
248 406 2
871 199 1
968 693 2
411 446 3
429 898 1
745 648 1
797 707 2
578 58 1
603 635 3
2 221 2
953 479 3
57 575 1
251 845 3
916 308 3
1054 368 3
428 251 3
243 797 3
202 862 1
675 737 1
248 877 3
85 39 3
853 5 3
680 397 3
676 210 1
920 791 1
221 257 2
341 144 1
569 769 3
649 950 3
574 572 1
701 659 2
549 222 1
658 883 3
188 995 1
436 38 3
258 290 2
590 802 1
851 600 2
859 625 2
605 974 2
454 757 1
23 423 2
349 694 2
231 769 2
531 172 3
111 392 3
205 443 3
852 832 3
584 626 3
85 39 2
292 574 3
428 834 1
171 221 1
812 82 1
263 87 3
872 863 2
570 571 2
847 877 2
774 105 1
27 30 3
1 368 2
382 627 3
995 44 3
400 598 1
122 76 1
1014 672 2
852 832 3
942 853 2
387 203 3
787 241 1
501 507 1
545 974 3
590 802 3
893 492 1
872 863 1
93 646 3
361 50 3
765 424 3
188 940 3
304 411 3
465 134 1
459 858 3
262 816 1
1020 307 3
148 770 3
1039 293 2
331 969 3
105 438 1
73 979 1
248 406 1
136 568 2
662 987 1
552 411 3
188 940 2
340 606 1
437 729 3
158 810 3
910 33 2
730 413 2
1046 23 1
425 1000 1
1002 166 1
752 466 3
15 311 3
721 220 3
914 775 1
573 626 1
871 673 3
863 604 1
821 435 2
642 1029 2
209 451 3
925 417 2
1009 418 3
425 1000 2
869 281 2
410 18 1
555 836 2
713 221 1
417 975 3
524 556 3
486 779 1
43 523 3
463 294 3
1010 516 2
380 315 1
463 718 3
882 152 2
463 718 1
486 779 1
851 600 1
428 251 2
838 330 3
748 433 3
840 461 1
653 957 1
911 598 3
542 168 2
281 380 2
728 300 3
1050 940 3
28 788 3
380 315 1
276 13 2
996 506 2
466 376 2
701 659 2
420 798 3
543 38 3
453 699 1
914 699 2
335 677 2
30 674 2
77 513 2
859 625 2
445 586 2
256 822 3
888 632 2
995 594 2
428 834 2
701 659 2
576 524 3
1049 102 3
258 271 2
769 522 1
851 600 2
195 614 2
305 678 3
551 544 1
179 657 1
1047 901 2
459 858 1
44 243 3
109 683 3
931 718 2
677 413 2
438 343 3
251 531 1
988 240 3
781 679 3
883 352 3
285 737 2
674 523 2
470 681 1
573 944 1
799 557 3
474 76 2
518 844 1
287 170 2
1002 71 3
588 285 2
911 598 2
48 441 3
739 24 1
853 5 3
297 974 3
946 786 3
417 975 3
346 931 1
4 985 3
499 1023 1
171 328 2
198 763 2
105 438 3
335 677 1
691 998 2
1004 45 2
671 994 1
470 681 1
262 816 1
939 175 1
920 791 1
287 336 2
1031 216 3
346 792 1
1015 760 2
619 235 1
678 386 2
486 779 2
632 909 2
397 242 3
849 600 3
487 776 2
410 18 1
310 262 1
664 251 2
913 776 3
444 312 1
533 431 2
798 172 1
661 78 2
417 975 3
830 105 2
141 319 1
180 560 1
860 456 3
195 997 1
74 1002 1
1021 871 3
583 645 1
787 241 1
915 347 3
85 39 1
397 242 1
272 815 1
874 296 1
497 920 3
443 168 3
477 471 1
263 296 1
927 252 1
793 355 1
65 425 1
498 310 1
814 744 3
1031 848 2
1025 936 1
419 466 3
248 406 2
397 48 2
729 181 3
133 816 2
987 64 1
63 565 2
194 292 1
899 630 3
1064 286 1
988 808 2
1014 672 1
737 426 2
109 1040 1
410 536 2
251 531 1
1055 196 2
268 395 1
588 285 3
169 13 3
139 233 1
277 692 2
109 683 1
619 235 2
802 327 3
60 978 1
361 50 3
251 69 2
517 768 1
274 1011 1
294 892 2
855 507 3
851 600 1
229 731 1
43 523 2
378 906 2
348 463 3
397 48 2
1005 429 3
59 126 3
462 689 1
303 311 3
339 822 2
441 330 1
559 301 3
155 82 2
457 158 2
286 479 2
32 710 3
243 797 1
584 626 1
455 266 3
571 623 3
125 714 2
879 572 2
902 541 2
833 177 1
818 140 2
674 523 3
993 357 1
285 737 2
585 306 2
618 285 2
392 409 1
817 1026 1
1055 196 1
1020 307 2
20 242 1
883 352 1
812 82 1
487 776 2
1002 166 3
54 835 2
646 551 1
907 251 1
528 303 1
135 420 2
222 267 1
701 659 2
959 250 1
332 886 1
559 301 1
913 211 2
169 142 1
462 689 2
280 244 3
374 692 1
642 855 1
354 449 1
938 393 1
891 948 1
774 105 3
938 808 3
916 308 1
936 882 3
155 82 2
822 914 1
713 221 2
618 848 2
86 962 2
223 999 2
674 618 2
793 433 2
455 266 2
821 435 3
921 247 1
776 611 1
226 686 3
579 632 2
923 556 1
814 744 2
15 309 2
871 264 1
1050 940 3
757 443 2
514 360 1
1060 764 3
93 646 2
461 243 1
525 313 3
74 3 2
165 258 1
506 846 2
194 292 3
163 927 1
871 673 3
737 426 2
80 109 3
166 554 2
30 918 3
474 964 3
465 134 3
346 792 1
63 565 3
247 832 1
771 138 3
894 430 3
487 776 3
691 214 1
23 423 3
35 711 1
98 942 2
1010 516 2
772 251 3
506 931 2
283 491 1
31 502 2
251 845 2
141 319 1
852 424 1
499 934 3
1027 738 2
995 44 1
833 177 3
63 565 2
335 677 1
812 82 2
799 130 3
1051 904 2
27 30 2
409 185 3
970 312 3
194 292 3
534 280 1
658 883 2
374 996 1
920 791 2
397 242 2
681 1033 1
258 290 2
107 963 3
399 293 1
506 931 2
947 611 1
317 563 2
238 982 2
699 947 3
946 786 1
617 202 3
248 113 3
1063 122 3
634 723 2
107 963 2
706 194 3
769 941 3
165 310 2
286 479 1
724 184 3
281 380 2
419 466 2
136 568 2
145 597 3
521 469 3
977 528 2
362 688 1
614 1066 3
763 744 1
378 906 2
527 488 3
663 358 2
205 443 3
348 463 3
614 1066 3
593 528 3
1009 714 3
397 242 2
1063 122 1
573 944 1
287 1027 3
340 658 3
341 144 3
409 185 3
332 886 3
238 982 3
912 917 3
1026 881 1
914 775 2
80 219 2
212 181 2
543 38 1
276 13 2
555 306 3
694 51 2
773 682 1
153 647 1
15 311 3
838 330 3
771 138 2
605 971 3
738 686 1
165 258 1
443 464 2
636 118 2
340 658 1
946 786 2
297 974 3
634 723 3
1030 286 1
840 461 2
243 797 3
351 939 1
327 238 1
362 688 2
913 933 3
1028 143 2
658 190 3
399 293 1
199 444 1
590 966 3
72 738 1
582 320 1
830 105 1
547 546 3
965 406 1
812 82 3
590 966 3
907 251 3
107 963 2
634 723 2
965 406 1
195 614 3
465 258 3
679 890 2
239 968 1
362 82 3
883 112 2
799 722 3
921 247 1
15 309 3
406 866 1
443 168 3
248 113 3
766 302 3
362 82 1
238 982 1
931 718 3
120 485 1
246 542 2
350 447 2
521 469 1
960 714 3
715 1005 2
853 983 1
976 546 1
619 235 2
851 140 2
784 812 2
166 554 2
1009 714 2
251 69 1
56 394 2
74 1002 1
590 966 2
773 821 2
250 373 1
317 563 2
80 219 3
15 309 3
136 568 2
